,data_end,data_orderbook_end,data_orderbook_start,data_quote_end,data_quote_start,data_start,data_symbols_count,data_trade_count,data_trade_end,data_trade_start,exchange_id,name,website
48,2019-05-22,2019-05-18T23:59:39.9558157Z,2017-03-14T20:05:05.6101304Z,2019-05-22T10:51:21.1435363Z,2017-03-14T20:05:05.6101304Z,2017-03-07,4,2968942.0,2019-05-22T11:26:36.0000000Z,2017-03-07T18:04:01.0000000Z,MERCADOBITCOIN,Mercado Bitcoin,https://www.mercadobitcoin.com.br/
49,2019-05-22,2019-05-21T08:55:37.1221920Z,2017-12-18T21:44:18.7514464Z,2019-05-22T10:24:02.6299463Z,2017-12-18T21:44:18.7514464Z,2017-12-17,22,2924753.0,2019-04-30T00:00:00.0000000Z,2017-12-17T09:56:31.0000000Z,COINNEST,Coinnest,https://www.coinnest.co.kr/
50,2019-05-22,2019-05-22T08:26:44.9317622Z,2018-01-24T00:21:46.8349102Z,2019-05-22T11:48:37.4654568Z,2018-01-24T00:21:46.8349102Z,2018-01-15,36,2880253.0,2019-05-22T13:00:21.0000000Z,2018-01-15T19:18:49.0000000Z,CEXIO,CEX.IO,https://cex.io/
51,2019-05-22,2019-05-22T08:09:08.6783430Z,2017-03-14T20:05:17.8425642Z,2019-05-22T10:55:46.9800925Z,2017-03-14T20:05:17.8425642Z,2011-11-09,28,2665173.0,2019-05-22T11:38:33.0000000Z,2011-11-09T14:33:28.0000000Z,THEROCKTRADING,The Rock Trading LTD.,https://www.therocktrading.com/
52,2019-05-22,2019-05-22T08:16:31.0658908Z,2017-03-14T20:03:12.2346102Z,2019-05-22T11:40:30.6195232Z,2017-03-14T20:03:12.2346102Z,2014-02-11,1424,2502086.0,2019-05-21T18:50:22.0000000Z,2014-02-11T19:40:58.0000000Z,CCEX,c-cex,https://c-cex.com/
53,2019-02-06,2019-02-06T00:00:00.0000000Z,2015-05-18T00:48:48.4730000Z,2019-02-06T00:00:00.0000000Z,2015-05-18T00:48:48.4730000Z,2015-05-18,2,2055408.0,2019-02-06T00:00:00.0000000Z,2015-05-18T00:48:55.0000000Z,BITYES,BitYes,https://www.bityes.com/
54,2019-01-28,2019-01-28T00:00:00.0000000Z,2017-03-14T20:05:08.1246185Z,2019-01-28T00:00:00.0000000Z,2017-03-14T20:05:08.1246185Z,2017-03-14,11,1990528.0,2019-01-28T00:00:00.0000000Z,2017-03-14T20:10:31.0000000Z,QUADRIGACX,QuadrigaCX,https://www.quadrigacx.com/
55,2019-05-22,2019-05-22T08:25:02.6116099Z,2017-08-29T15:47:10.0528025Z,2019-05-22T11:38:28.3696816Z,2017-08-29T15:47:10.0528025Z,2011-04-05,4,1933936.0,2019-05-22T12:52:32.0000000Z,2011-04-05T18:49:48.0000000Z,BITMARKET,BitMarket,https://www.bitmarket.pl
56,2019-05-22,2019-05-22T08:19:42.0877330Z,2017-12-28T21:44:47.2651267Z,2019-05-22T11:48:10.2174536Z,2017-12-28T21:44:47.2651267Z,2017-12-28,4,1815744.0,2019-05-22T12:51:45.1170000Z,2017-12-28T14:19:44.8820000Z,LUNO,Luno,https://www.luno.com
57,2019-05-22,2019-05-22T08:25:54.2566283Z,2017-12-28T21:38:26.3015015Z,2019-05-22T11:45:09.8999777Z,2017-12-28T21:38:26.3015015Z,2017-12-25,11,1725574.0,2019-05-22T13:01:36.0000000Z,2017-12-25T10:18:54.0000000Z,BTCMARKETS,BTC Markets Pty Ltd.,https://www.btcmarkets.net/
58,2019-05-22,2019-05-22T08:10:26.7993207Z,2017-03-14T20:05:23.8488070Z,2019-05-22T10:40:36.1329172Z,2017-03-14T20:05:23.8488070Z,2017-03-14,1,1442210.0,2019-05-22T11:33:46.0000000Z,2017-03-14T20:07:49.0000000Z,VAULTORO,Vaultoro,https://www.vaultoro.com/
59,2019-05-22,2019-05-22T07:10:04.1400000Z,2018-01-24T00:21:41.0728293Z,2019-05-22T07:10:24.5335541Z,2018-01-24T00:21:41.0728293Z,2018-01-24,4,1341300.0,2019-05-22T07:01:54.0000000Z,2018-01-24T23:24:33.0000000Z,BTCBOX,BtcBox,https://www.btcbox.co.jp/
60,2019-03-13,2019-03-13T00:00:00.0000000Z,2017-03-14T20:04:17.4937751Z,2019-03-13T00:00:00.0000000Z,2017-03-14T20:04:17.4937751Z,2017-03-14,10,1322369.0,2019-03-13T00:00:00.0000000Z,2017-03-14T22:00:23.0000000Z,GATECOIN,Gatecoin,https://gatecoin.com/
61,2019-02-25,2019-02-25T00:00:00.0000000Z,2018-01-24T00:25:52.2092047Z,2019-02-25T00:00:00.0000000Z,2018-01-24T00:25:52.2092047Z,2018-01-24,3,1130829.0,2019-02-25T00:00:00.0000000Z,2018-01-24T23:35:14.0000000Z,GETBTC,GetBTC,https://getbtc.org/
62,2018-04-19,2018-04-19T00:00:00.0000000Z,2018-01-24T00:42:37.0818542Z,2018-04-19T00:00:00.0000000Z,2018-01-24T00:42:37.0818542Z,2017-06-19,72,1068040.0,2018-04-19T00:00:00.0000000Z,2017-06-19T05:31:08.2600000Z,ALLCOIN,Allcoin,https://www.allcoin.com/
63,2019-05-22,2019-05-16T20:10:01.4223766Z,2017-03-14T20:04:13.3389084Z,2019-05-22T10:47:39.0219925Z,2017-03-14T20:04:13.3389084Z,2017-03-14,11,784940.0,2019-05-22T09:41:31.2390000Z,2017-03-14T20:04:43.2020000Z,COINMATE,Coin Mate,https://coinmate.io/
64,2019-05-22,2019-05-16T15:49:21.7287816Z,2017-12-24T13:03:38.2179565Z,2019-05-22T11:40:55.1191544Z,2017-12-24T13:03:38.2179565Z,2017-06-17,4,652089.0,2019-05-22T11:45:27.0000000Z,2017-06-17T19:38:52.0000000Z,BTCTURK,BTCTurk,https://www.btcturk.com/
65,2019-05-22,2019-05-22T08:24:03.6654618Z,2017-09-21T13:39:33.4870179Z,2019-05-22T11:48:25.9080852Z,2017-09-21T13:39:33.4870179Z,2017-09-16,30,643603.0,2019-05-22T13:00:01.0000000Z,2017-09-16T00:53:48.0000000Z,INDEPENDENTRESERVE,Independent Reserve,https://www.independentreserve.com/
66,2019-05-22,2019-05-22T08:22:17.6685010Z,2017-09-21T13:36:24.9479094Z,2019-05-22T10:50:23.9422924Z,2017-09-21T13:36:24.9479094Z,2017-09-19,4,539189.0,2019-05-22T08:03:58.0000000Z,2017-09-19T11:20:44.0000000Z,COINFLOOR,coinfloor,https://www.coinfloor.co.uk/
67,2019-05-22,2019-05-22T08:26:41.5406141Z,2017-08-29T15:50:33.5497414Z,2019-05-22T11:48:12.4979036Z,2017-08-29T15:50:33.5497414Z,2017-06-07,48,514962.0,2019-05-22T13:01:46.0000000Z,2017-06-07T04:46:35.0000000Z,DSX,DSX,https://dsx.uk
68,2019-04-17,2019-04-17T00:00:00.0000000Z,2017-12-28T21:34:28.8285993Z,2019-04-17T00:00:00.0000000Z,2017-12-28T21:34:28.8285993Z,2017-12-27,66,470161.0,2018-05-30T00:00:00.0000000Z,2017-12-27T12:49:47.0000000Z,ABUCOINS,Abucoins,https://abucoins.com/
69,2019-05-22,2019-05-22T08:26:56.8040000Z,2018-01-24T00:21:32.6002443Z,2019-05-22T11:44:17.4126769Z,2018-01-24T00:21:32.6002443Z,2017-11-16,437,461128.0,2019-05-22T12:54:07.0000000Z,2017-11-16T09:22:21.0000000Z,SOUTHXCHANGE,SouthXchange,https://www.southxchange.com/
70,2019-05-22,2019-05-22T08:25:03.5190438Z,2018-01-24T00:21:29.5498424Z,2019-05-22T11:48:16.6500000Z,2018-01-24T00:21:29.5498424Z,2018-01-24,17,296644.0,2019-05-22T13:03:06.0000000Z,2018-01-24T18:46:55.0000000Z,BTCTRADEUA,BTC Trade UA,https://btc-trade.com.ua/
71,2019-05-22,2019-05-22T08:21:21.2489639Z,2017-12-19T00:37:58.6744791Z,2019-05-22T11:44:48.7134839Z,2017-12-19T00:37:58.6744791Z,2017-11-23,193,241904.0,2019-04-15T00:00:00.0000000Z,2017-11-23T16:42:29.0000000Z,CRYPTOFACILITIES,Crypto Facilities Ltd,https://www.cryptofacilities.com/
